Complexity metrics,÷‹ŒÂ, 9 10‘¬ 2020 12:35:09 CST
Method,ev(G),iv(G),v(G)
"Configuration.getAboutContent()",1,1,1
"Configuration.getConfigurations()",1,1,1
"Configuration.getKeyWordsMap()",1,1,1
"KeyWordsMap.getKeywordArray()",1,1,1
"KeyWordsMap.getLiteralArray()",1,1,1
"KeyWordsMap.getPrimitiveTypeArray()",1,1,1
"KeyWordsMap.setKeywordArray(ArrayList<String>)",1,1,1
"KeyWordsMap.setLiteralArray(ArrayList<String>)",1,1,1
"KeyWordsMap.setPrimitiveTypeArray(ArrayList<String>)",1,1,1
"KeyWordsMap.toString()",1,1,1
"Main.main(String[])",1,1,1
"Main.start(Stage)",1,6,6
"Notepad.AboutOnClick(ActionEvent)",1,1,1
"Notepad.CopyOnClick(ActionEvent)",1,1,1
"Notepad.CutOnClick(ActionEvent)",1,1,1
"Notepad.ExitOnClick(ActionEvent)",1,3,3
"Notepad.NewOnClick(ActionEvent)",1,2,2
"Notepad.OpenOnClick(ActionEvent)",1,5,5
"Notepad.PasteOnclick(ActionEvent)",1,1,1
"Notepad.PrintOnClick(ActionEvent)",1,4,4
"Notepad.SaveOnClick(ActionEvent)",1,2,2
"Notepad.ToSearch(ActionEvent)",1,1,1
"Notepad.closeSearch(ActionEvent)",1,1,1
"Notepad.export2pdf(ActionEvent)",1,2,2
"Notepad.export2pdf(String)",1,3,3
"Notepad.highlight(int[])",1,1,1
"Notepad.initialize()",1,1,1
"Notepad.keys2Coordinate(String,int)",6,5,6
"Notepad.nextKey(ActionEvent)",1,2,2
"Notepad.remove(String)",1,3,3
"Notepad.searchKeys(ActionEvent)",2,3,4
"Notepad.shortcuts()",4,4,4
"Notepad.showTime()",1,3,3
"Notepad.syntax(ActionEvent)",1,1,1
"Notepad.updateTime()",1,1,1
"NotepadTest.setUpClass()",1,1,1
"NotepadTest.should_contain_open_file_text(FxRobot)",1,1,1
"NotepadTest.should_contain_same_search_key_numbers(FxRobot)",1,1,1
"NotepadTest.should_contain_save_file_text(FxRobot)",1,1,1
"Utils.chooseAFile(String,FileOperation)",1,2,2
"Utils.getFileString(File)",1,1,1
"Utils.getOdtString(File)",1,1,1
"Utils.getRenderedText(String)",4,30,39
"Utils.ifToExit(String)",1,1,1
"Utils.showReadView(String,WebView)",1,1,1
"Utils.writeFileString(String,String)",1,1,1

Class,OCavg,WMC
"Configuration",1.00,3
"FileOperation",n/a,0
"KeyWordsMap",1.00,7
"Main",2.00,6
"Notepad",1.92,46
"NotepadTest",1.00,4
"Utils",5.43,38

Package,v(G)avg,v(G)tot
"",2.61,120

Module,v(G)avg,v(G)tot
"local_git_assignment1",2.61,120

Project,v(G)avg,v(G)tot
"project",2.61,120

